filename,xmin,ymin,xmax,ymax,class
./dataset_not_aug/images/Img_RSKA003603_3_r2944_c1792.png,101,18,141,58,tree
./dataset_not_aug/images/Img_RSKA003603_3_r2944_c1792.png,231,105,256,145,tree
./dataset_not_aug/images/Img_RSKA003603_1_r896_c2304.png,209,195,249,235,tree
./dataset_not_aug/images/Img_RSKA003603_1_r896_c2304.png,32,140,72,180,tree
./dataset_not_aug/images/Img_RSKA003603_1_r896_c2304.png,95,76,135,115,tree
./dataset_not_aug/images/Img_RSKA003603_1_r896_c2304.png,154,22,194,62,tree
./dataset_not_aug/images/Img_RSKA003603_1_r2048_c2304.png,98,194,138,234,tree
./dataset_not_aug/images/Img_RSKA003603_1_r2048_c2304.png,7,0,47,26,tree
./dataset_not_aug/images/Img_RSKA003603_1_r2048_c2304.png,226,74,256,114,tree
./dataset_not_aug/images/Img_RSKA003603_1_r2048_c2304.png,153,138,193,178,tree
./dataset_not_aug/images/Img_RSKA003603_1_r1664_c2816.png,85,167,125,206,tree
./dataset_not_aug/images/Img_RSKA003603_1_r1664_c2816.png,152,106,192,146,tree
./dataset_not_aug/images/Img_RSKA003603_1_r1664_c2816.png,212,46,252,85,tree
./dataset_not_aug/images/Img_RSKA003603_1_r1152_c1792.png,129,234,169,256,tree
./dataset_not_aug/images/Img_RSKA003603_1_r1152_c1792.png,169,194,209,234,tree
./dataset_not_aug/images/Img_RSKA003603_1_r1152_c1792.png,42,11,82,51,tree
./dataset_not_aug/images/Img_RSKA003603_2_r640_c2560.png,192,206,232,246,tree
./dataset_not_aug/images/Img_RSKA003603_2_r640_c2560.png,36,70,76,110,tree
./dataset_not_aug/images/Img_RSKA003603_1_r1664_c3328.png,184,147,224,187,tree
./dataset_not_aug/images/Img_RSKA003603_1_r1664_c3328.png,101,212,141,251,tree
./dataset_not_aug/images/Img_RSKA003603_1_r1664_c3328.png,55,27,95,67,tree
./dataset_not_aug/images/Img_RSKA003603_4_r640_c768.png,88,35,128,75,tree
./dataset_not_aug/images/Img_RSKA003603_4_r640_c768.png,20,91,60,131,tree
./dataset_not_aug/images/Img_RSKA003603_4_r640_c768.png,224,186,256,226,tree
./dataset_not_aug/images/Img_RSKA003603_2_r256_c128.png,173,38,213,78,tree
./dataset_not_aug/images/Img_RSKA003603_2_r256_c128.png,49,130,89,170,tree
./dataset_not_aug/images/Img_RSKA014702_3_r768_c2816.png,0,197,32,237,tree
./dataset_not_aug/images/Img_RSKA003603_1_r1408_c2560.png,168,56,208,96,tree
./dataset_not_aug/images/Img_RSKA003603_1_r1408_c2560.png,107,125,147,164,tree
./dataset_not_aug/images/Img_RSKA003603_1_r1408_c2560.png,34,172,74,212,tree
./dataset_not_aug/images/Img_RSKA003603_4_r2560_c2432.png,137,12,177,51,tree
./dataset_not_aug/images/Img_RSKA003603_4_r2560_c2432.png,68,60,108,100,tree
./dataset_not_aug/images/Img_RSKA003603_4_r2560_c2432.png,0,153,22,192,tree
./dataset_not_aug/images/Img_RSKA003603_4_r2560_c2432.png,225,189,256,228,tree
./dataset_not_aug/images/Img_RSKA003603_1_r2048_c512.png,218,77,256,117,tree
./dataset_not_aug/images/Img_RSKA003603_1_r2048_c512.png,132,158,172,197,tree
./dataset_not_aug/images/Img_RSKA003603_1_r2048_c512.png,64,222,104,256,tree
./dataset_not_aug/images/Img_RSKA003603_4_r1152_c512.png,92,15,132,54,tree
./dataset_not_aug/images/Img_RSKA003603_4_r1152_c512.png,3,84,43,124,tree
./dataset_not_aug/images/Img_RSKA003603_4_r1152_c512.png,198,210,238,250,tree
./dataset_not_aug/images/Img_RSKA003603_3_r2944_c3072.png,139,123,179,162,tree
./dataset_not_aug/images/Img_RSKA003603_3_r2944_c3072.png,162,54,202,94,tree
./dataset_not_aug/images/Img_RSKA003603_2_r2560_c000.png,0,99,36,139,tree
./dataset_not_aug/images/Img_RSKA003603_2_r2560_c000.png,78,36,118,76,tree
./dataset_not_aug/images/Img_RSKA003603_2_r2560_c000.png,197,231,238,256,tree
./dataset_not_aug/images/Img_RSKA003603_5_r1792_c1920.png,131,2,171,42,tree
./dataset_not_aug/images/Img_RSKA003603_5_r1792_c1920.png,76,62,116,101,tree
./dataset_not_aug/images/Img_RSKA003603_5_r1792_c1920.png,7,107,47,147,tree
./dataset_not_aug/images/Img_RSKA003603_5_r1792_c1920.png,209,223,249,256,tree
./dataset_not_aug/images/Img_RSKA014702_3_r640_c1280.png,232,109,256,149,tree
./dataset_not_aug/images/Img_RSKA014702_3_r640_c1280.png,212,18,252,58,tree
./dataset_not_aug/images/Img_RSKA003603_5_r768_c1408.png,20,182,60,222,tree
./dataset_not_aug/images/Img_RSKA003603_5_r768_c1408.png,178,35,218,75,tree
